"zip","city","county","pop"
"38848","Greenwood Springs","Monroe","696"
"39745","French Camp","Choctaw","686"
"39456","Mc Lain","Greene","681"
"39078","Georgetown","Copiah","673"
"39656","Oak Vale","Lawrence","671"
"38961","Tillatoba","Yalobusha","660"
"39477","Sandersville","Jones","626"
"39062","D Lo","Simpson","600"
"38923","Coila","Carroll","598"
"39113","Mayersville","Issaquena","589"
"38920","Cascilla","Tallahatchie","585"
"39352","Porterville","Kemper","582"
"38647","Michigan City","Benton","560"
"39156","Redwood","Warren","523"
"39356","Rose Hill","Jasper","521"
"38950","Philipp","Tallahatchie","518"
"38947","North Carrollton","Carroll","516"
"38953","Scobey","Yalobusha","513"
"38617","Coahoma","Coahoma","495"
"39348","Paulding","Jasper","489"
"38913","Banner","Calhoun","487"
"39054","Cary","Sharkey","472"
"38952","Schlater","Leflore","468"
"38957","Sumner","Tallahatchie","467"
"39461","Neely","Greene","463"
"38726","Beulah","Bolivar","457"
"38746","Gunnison","Bolivar","438"
"39097","Louise","Humphreys","435"
"38744","Glen Allan","Washington","435"
"38869","Sherman","Pontotoc","430"
"38928","Glendora","Tallahatchie","406"
"38736","Doddsville","Sunflower","399"
"38949","Paris","Lafayette","386"
"38944","Minter City","Leflore","375"
"38924","Cruger","Holmes","369"
"38722","Arcola","Washington","355"
"39309","Meridian","Lauderdale","341"
"38943","Mc Carley","Carroll","335"
"39326","Daleville","Lauderdale","310"
"39359","Sebastopol","Scott","301"
"38764","Pace","Bolivar","297"
"39736","Artesia","Lowndes","272"
"38946","Morgan City","Leflore","264"
"38740","Duncan","Bolivar","262"
"38623","Darling","Quitman","224"
"38644","Lula","Coahoma","218"
"38844","Gattman","Monroe","217"
"39635","Fernwood","Pike","215"
"39115","Midnight","Humphreys","184"
"39177","Valley Park","Issaquena","183"
"39737","Bellefontaine","Webster","166"
"38964","Vance","Quitman","163"
"38745","Grace","Issaquena","162"
"38781","Winstonville","Bolivar","146"
"38731","Chatham","Washington","139"
"39771","Walthall","Webster","134"
"38630","Farrell","Coahoma","132"
"38765","Panther Burn","Sharkey","103"
"39088","Holly Bluff","Yazoo","82"
"38962","Tippo","Tallahatchie","72"
"38945","Money","Leflore","64"
"38749","Holly Ridge","Sunflower","54"
"39162","Satartia","Yazoo","54"
"38723","Avon","Washington","52"
"38768","Rome","Sunflower","47"
"38767","Rena Lara","Coahoma","37"
"38702","Greenville","Washington","27"
"38772","Scott","Bolivar","19"
"39760","Starkville","Oktibbeha","12"
"38704","Greenville","Washington","5"
"39167","Star","Rankin","0"
"39269","Jackson","Hinds","0"
"39061","Delta City","Sharkey","0"
"38958","Swan Lake","Tallahatchie","0"
